name,coach
Arizona Coyotes,Rick Tocchet
Boston Bruins,Bruce Cassidy
Buffalo Sabres,Phil Housely
Calgary Flames,Bill Peters
Carolina Hurricanes,Rod Amour
Chicago Blackhawks,Jeremy Collitor
Colorado Avalanche,Jared Bednar
Columbus Blue Jackets,John Tortorella
Dallas Stars,Jim Montgomery
Detroit Red Wings,Jeff Blashill
Edmonton Oilers,Ken Hitchcock
Florida Panthers,Bob Boughner
Los Angeles Kings,Willie Desjardins
Minnesota Wild,Bruce Boudreau
Montreal Canadiens,Claude Julien
Nashville Predators,Peter Laviolette
New Jersey Devils,John Hynes
NY Islanders Islanders,Barry Trotz
NY Rangers Rangers,David Quinn
Ottawa Senators,Guy Boucher
Philadelphia Flyers,Dave Hakstol
Phoenix Coyotes,Jabba the Hut
Pittsburgh Penguins,Mike Sullivan
San Diego Sockers,David Beckham
San Jose Sharks,Pete DeBoer
St Louis Blues,Craig Berube
Tampa Bay Lightning,Jon Cooper
Toronto Maple Leafs,Mike Babcock
Vancouver Canucks,Travis Green
Vegas Golden Knights,Gerard Gallant
Washington Capitals,Todd Reirden
Winnipeg Jets,Paul Maurice